"ZIP3","POP3","WEIGHTED_LAT","WEIGHTED_LONG","state"
"010",476670,42.2113376379949,-72.5723379226236,"MA"
"011",170489,42.1061823120494,-72.5516281708087,"MA"
"012",127310,42.4580700557772,-73.2212250095908,"MA"
"013",82577,42.5880205222035,-72.4908552924543,"MA"
"014",218826,42.5806209097913,-71.7829065239322,"MA"
"015",384338,42.2144255236953,-71.7989093914315,"MA"
"016",192553,42.2684402680457,-71.8104967977388,"MA"
"017",399952,42.3294232653243,-71.4527617355508,"MA"
"018",749372,42.6334825857812,-71.2055420721858,"MA"
"019",496669,42.5738822699766,-70.9078503330266,"MA"
"020",415349,42.1475425423174,-71.1528631318602,"MA"
"021",1367002,42.3391191041505,-71.0681253771443,"MA"
"022",27659,42.3476322690263,-71.0970195894284,"MA"
"023",454524,42.0284622698537,-70.9068534024408,"MA"
"024",426236,42.3603023772581,-71.2035670287775,"MA"
"025",118051,41.6142910083354,-70.548121638995,"MA"
"026",146809,41.7021077834737,-70.2308287793391,"MA"
"027",534871,41.7746413094466,-71.1000813116191,"MA"
"028",673229,41.7161028860462,-71.4639590096341,"RI"
"029",382909,41.8164052872641,-71.4372461304226,"RI"
"030",385092,42.8404229958218,-71.4380703972479,"NH"
"031",150551,42.9878171652928,-71.4647112953484,"NH"
"032",187910,43.4369403165239,-71.5975022811719,"NH"
"033",61667,43.2528778957303,-71.5727011362641,"NH"
"034",83180,42.8985595161096,-72.2092751061794,"NH"
"035",45348,44.4660564112861,-71.4537779558966,"NH"
"037",77796,43.596423932503,-72.1882536345571,"NH"
"038",326733,43.1951415852271,-70.9875597822411,"NH"
"039",49687,43.2037383466299,-70.7396285237386,"ME"
"040",344847,43.6831455971866,-70.4634059350524,"ME"
"041",114497,43.6656898388255,-70.2772720438439,"ME"
"042",175899,44.1979916539207,-70.2832347238927,"ME"
"043",81170,44.2928080387705,-69.7710708210176,"ME"
"044",174322,44.9802200305354,-68.8081380790606,"ME"
"045",47876,43.961962950142,-69.6223855091904,"ME"
"046",73040,44.6253376781079,-68.0013066025192,"ME"
"047",69229,46.6862383456211,-68.1408464763322,"ME"
"048",40296,44.1620793686718,-69.1366330618175,"ME"
"049",159183,44.6865994666076,-69.5992937866921,"ME"
"050",60371,43.8037963314174,-72.4218484090043,"VT"
"051",28604,43.2792564751084,-72.5639371711299,"VT"
"052",32685,42.9627618974147,-73.1279859930855,"VT"
"053",36552,42.8999210427063,-72.6931991935872,"VT"
"054",239735,44.5433995062048,-73.1092987667758,"VT"
"056",84928,44.3115998678999,-72.5935545785253,"VT"
"057",80305,43.690412732582,-73.0555081487827,"VT"
"058",58017,44.6687570937656,-72.1256619725598,"VT"
"060",675278,41.8062388449039,-72.7044602147397,"CT"
"061",295662,41.7495658727398,-72.6911683105438,"CT"
"062",164831,41.7957912765014,-72.1339414180585,"CT"
"063",265268,41.455744642275,-72.0577853642769,"CT"
"063",265268,41.455744642275,-72.0577853642769,"NY"
"064",720316,41.4238451280133,-72.8458285678563,"CT"
"065",290412,41.3223602077152,-72.9275685099927,"CT"
"066",244177,41.2101008842151,-73.1887513449834,"CT"
"067",328345,41.6119037650764,-73.1147152267615,"CT"
"068",481801,41.2170951200828,-73.4395440711103,"CT"
"069",128618,41.0757976835357,-73.5437344723056,"CT"
"070",1751139,40.7549014473649,-74.1979333861264,"NJ"
"071",402742,40.7473864959329,-74.1852595262749,"NJ"
"072",186858,40.6648141257158,-74.2179566426591,"NJ"
"073",265793,40.7224363485946,-74.0661574384841,"NJ"
"074",469824,41.016403819294,-74.259439221451,"NJ"
"075",200743,40.9237445220705,-74.1683412623603,"NJ"
"076",508343,40.9203601973589,-74.0206462139697,"NJ"
"077",598607,40.3011940633604,-74.1495043869918,"NJ"
"078",360225,40.9143858142245,-74.710862310331,"NJ"
"079",259678,40.748133920852,-74.4807264970618,"NJ"
"080",1164093,39.8363369180701,-74.9447371176444,"NJ"
"081",156249,39.9353345787685,-75.0837313994906,"NJ"
"082",248732,39.3006151712727,-74.6431336490319,"NJ"
"083",240095,39.4673250121494,-75.037570821629,"NJ"
"084",56792,39.3691558111354,-74.4637814359945,"NJ"
"085",317401,40.2548932570628,-74.5980931903901,"NJ"
"086",271962,40.2190698445408,-74.7179193955589,"NJ"
"087",463254,40.0084748522517,-74.1793695560556,"NJ"
"088",923434,40.5118431298209,-74.5230245977698,"NJ"
"089",114197,40.4696007630323,-74.4559003106036,"NJ"
"100",1564205,40.7800634278838,-73.9660587463638,"NY"
"101",64067,40.7811775297111,-73.9500082227356,"NY"
"103",475948,40.5856090842109,-74.1451124398275,"NY"
"104",1458572,40.849407618339,-73.8820437309889,"NY"
"105",661686,41.1462918652699,-73.777149979785,"NY"
"106",83145,41.0358351897047,-73.7674665421733,"NY"
"107",232784,40.943131076775,-73.8648337286755,"NY"
"108",88570,40.9154961523879,-73.7873172789658,"NY"
"109",552846,41.2279149280577,-74.1393442801106,"NY"
"110",256868,40.7486788431529,-73.702170463234,"NY"
"111",209037,40.7623937347551,-73.9231751272167,"NY"
"112",2635121,40.6501115973509,-73.9541302151996,"NY"
"113",1189113,40.7435500805474,-73.8487366174998,"NY"
"114",801966,40.6930884253322,-73.793600597569,"NY"
"115",731193,40.6965167881982,-73.6283277563311,"NY"
"116",123012,40.5936353494456,-73.7906977860778,"NY"
"117",1568874,40.7886819018022,-73.2647755311555,"NY"
"118",72779,40.7696441456464,-73.4998988844447,"NY"
"119",254283,40.891510465914,-72.6570650713103,"NY"
"120",333122,42.8086112630538,-73.9421290656216,"NY"
"121",284709,42.719436364927,-73.7831847175467,"NY"
"122",151296,42.6779760830623,-73.8028816828469,"NY"
"123",162346,42.8025356457751,-73.9357660553509,"NY"
"124",151254,42.0115123104116,-74.1574658470321,"NY"
"125",448865,41.6675091311285,-73.9240200973545,"NY"
"126",85718,41.6886560709186,-73.8876103750087,"NY"
"127",97320,41.6476237981196,-74.6897997991677,"NY"
"128",224455,43.2919435845403,-73.6622639194761,"NY"
"129",162385,44.6141209894448,-73.8350547303076,"NY"
"130",386336,43.027603988378,-76.218901974196,"NY"
"131",177873,43.1378054908558,-76.3609629434147,"NY"
"132",228315,43.051072330228,-76.1513397747848,"NY"
"133",139975,43.1292672303768,-75.211983685201,"NY"
"134",184960,43.0958611703611,-75.3479507882569,"NY"
"135",70340,43.108506392451,-75.1935512605914,"NY"
"136",235146,44.3187381584973,-75.5205669282829,"NY"
"137",132930,42.1828703862785,-75.8121952631686,"NY"
"138",136776,42.3063744097502,-75.6331361451863,"NY"
"139",80581,42.1333528521612,-75.9014745142403,"NY"
"140",443902,42.868008752157,-78.7155340724462,"NY"
"141",198884,42.9514947392048,-78.7738542453943,"NY"
"142",565680,42.921526999277,-78.8118441101895,"NY"
"143",64424,43.1035518895598,-78.9959555535825,"NY"
"144",307057,43.0084973361623,-77.5955690775752,"NY"
"145",322572,43.0421164530678,-77.4420560353131,"NY"
"146",474812,43.1740276889674,-77.6299093089033,"NY"
"147",174700,42.1620612079737,-78.9288211453634,"NY"
"148",283583,42.3053876654842,-76.9750742604599,"NY"
"149",48005,42.088655732632,-76.8013590371003,"NY"
"150",449287,40.5119564121286,-80.0646680499369,"PA"
"151",368343,40.4352190472223,-79.9682356641608,"PA"
"152",685104,40.4430331261969,-79.9718995531292,"PA"
"153",183410,40.1295575498119,-80.1759308043781,"PA"
"154",141183,39.9498365343066,-79.7328316199188,"PA"
"155",87596,39.9799087379561,-78.8424560600027,"PA"
"156",304096,40.3418891020106,-79.5547586304687,"PA"
"157",110378,40.6786078296309,-79.0672798578611,"PA"
"158",86817,41.2585028357349,-78.7358965831346,"PA"
"159",138515,40.3418937225427,-78.854254993914,"PA"
"160",194754,40.8424675307413,-79.9601493437208,"PA"
"161",217220,41.1363957368382,-80.3298322930945,"PA"
"162",87108,40.9843340428319,-79.4171423839372,"PA"
"163",144885,41.5910409235394,-79.7085849594092,"PA"
"164",129246,41.9264017235427,-80.054771744495,"PA"
"165",184436,42.103707411205,-80.0631853104329,"PA"
"166",202371,40.5070994777266,-78.3359916597091,"PA"
"167",46868,41.8352494159981,-78.5733168622087,"PA"
"168",202894,40.8755585027551,-77.9395217430037,"PA"
"169",64528,41.8164548282916,-77.2689801866477,"PA"
"170",631483,40.3167877272025,-76.9091017364267,"PA"
"171",168924,40.2965373693791,-76.8286437628697,"PA"
"172",209106,39.9466863787266,-77.6524486310723,"PA"
"173",338076,39.8900531532229,-76.8789733284764,"PA"
"174",179404,39.9623173084491,-76.7168665290963,"PA"
"175",338725,40.0886443132541,-76.261753676726,"PA"
"176",167466,40.0356766859601,-76.3071040497773,"PA"
"177",169914,41.2812850137481,-77.0293397041739,"PA"
"178",237074,40.9186390547762,-76.7345914404068,"PA"
"179",122402,40.690783614222,-76.2542084685218,"PA"
"180",543508,40.6481479755404,-75.4139206834196,"PA"
"181",169880,40.5995488735578,-75.4985463274429,"PA"
"182",137705,40.9137031135108,-75.8850222708762,"PA"
"183",174950,41.0744062681166,-75.1960735168791,"PA"
"184",196920,41.4729341686878,-75.4682720425807,"PA"
"185",117840,41.413983607646,-75.6623780370757,"PA"
"186",175108,41.2853418380885,-75.9856812464593,"PA"
"187",132192,41.2335875704052,-75.8640828301183,"PA"
"188",76367,41.8486332355206,-76.1830528682677,"PA"
"189",367834,40.3082406762534,-75.1424190661902,"PA"
"190",1125676,40.0313551166837,-75.1850785166105,"PA"
"191",1569948,40.0038701838125,-75.1403200497099,"PA"
"193",445939,39.9475164665078,-75.7005733026894,"PA"
"194",528282,40.1822751530792,-75.4163643904808,"PA"
"195",222469,40.3845810539356,-75.8543833596501,"PA"
"196",214274,40.3393595827352,-75.9369700626394,"PA"
"197",330826,39.6326983585117,-75.678288595978,"DE"
"198",219370,39.7588644171856,-75.5752940102794,"DE"
"199",393536,38.8749206653597,-75.4396265930868,"DE"
"200",671048,38.9096506096077,-77.0145122554676,"DC"
"201",945152,38.9170565043517,-77.5072287231356,"VA"
"206",356565,38.4786334104329,-76.763772226587,"MD"
"207",1012309,38.9231803301047,-76.8614170914553,"MD"
"208",718105,39.1045964258667,-77.1777730787336,"MD"
"209",330263,39.0465746335527,-77.0187785328026,"MD"
"210",756430,39.3225800183361,-76.5969127754333,"MD"
"211",477232,39.3185195139534,-76.705494166045,"MD"
"212",1209150,39.3214362032064,-76.6021554077567,"MD"
"214",94098,38.9795333639929,-76.5027782954792,"MD"
"215",101601,39.5946487674826,-78.9654195705948,"MD"
"216",169848,38.8749967958469,-76.0408350520053,"MD"
"217",487167,39.4921293452102,-77.437532987573,"MD"
"218",180895,38.3031361660134,-75.5191971620443,"MD"
"219",102416,39.6115609177863,-75.9417885125859,"MD"
"220",506350,38.8159176534156,-77.2592586175965,"VA"
"221",472037,38.7532030737929,-77.2748489655536,"VA"
"222",229887,38.8754146736353,-77.1011136402754,"VA"
"223",351744,38.7887355547273,-77.1027255770219,"VA"
"224",231407,38.2503888213408,-77.3602778025557,"VA"
"225",195671,38.2402750558386,-77.3908748256614,"VA"
"226",191069,39.0796733046491,-78.2271603252281,"VA"
"227",81844,38.476571145423,-77.9834159499536,"VA"
"228",170552,38.5101092293787,-78.8032323890016,"VA"
"229",262424,38.0478631174512,-78.5457741221039,"VA"
"230",228253,37.6363028828186,-77.3822321999755,"VA"
"231",382644,37.4955957828007,-77.2967635906378,"VA"
"232",569802,37.5411552664978,-77.4888741354821,"VA"
"233",267961,36.8114955265095,-76.2441343788052,"VA"
"234",583383,36.8484672234518,-76.1762998307647,"VA"
"235",245752,36.8942520701968,-76.2641497679612,"VA"
"236",383948,37.0816538923813,-76.4437261315647,"VA"
"237",95536,36.8401675148635,-76.3490745702562,"VA"
"238",342984,37.1566158968931,-77.4172482414457,"VA"
"239",103958,37.0523513315666,-78.3611514891879,"VA"
"240",361572,37.1892657827348,-80.1051334503833,"VA"
"241",227976,37.0776122497105,-80.0642593263326,"VA"
"242",189129,36.8174781095178,-82.4269012076678,"VA"
"243",152312,36.8320038115972,-81.1376721158346,"VA"
"244",142532,38.0100732635128,-79.3131057613378,"VA"
"245",382855,37.1483721983727,-79.2148900051508,"VA"
"246",67452,37.1770623025559,-81.7422455685524,"VA"
"247",59867,37.3614541198657,-81.1006195600915,"WV"
"248",35813,37.5035794924748,-81.6392446922347,"WV"
"249",54056,37.8228299413571,-80.4386924449645,"WV"
"250",66364,38.3126367049455,-81.5578170155204,"WV"
"251",71226,38.3458995120181,-81.7092908864038,"WV"
"252",57811,38.6965734054073,-81.6236477463113,"WV"
"253",115515,38.3694313393499,-81.6439545434186,"WV"
"254",187140,39.4076110712087,-77.975500212301,"WV"
"255",139596,38.3499077790051,-82.1529165562982,"WV"
"256",49489,37.7665378507547,-82.0753622110166,"WV"
"257",74922,38.3780376754892,-82.4145134943007,"WV"
"258",87439,37.8230582269582,-81.2121590132206,"WV"
"259",44314,37.8395525662319,-81.002480231191,"WV"
"260",128494,40.1721403600713,-80.6246460955531,"WV"
"261",131668,39.2708367337546,-81.4021543220828,"WV"
"262",83816,38.8406026783669,-80.0688386523934,"WV"
"263",88450,39.2441090043867,-80.394552269169,"WV"
"264",58299,39.2313797736839,-80.3728053631966,"WV"
"265",184965,39.5788124076501,-80.0002041688265,"WV"
"266",31076,38.4449730123246,-80.7943466316128,"WV"
"267",53864,39.3851102971929,-78.9033849364882,"WV"
"268",32425,38.9480142460756,-79.0514114266152,"WV"
"270",290011,36.2158543504557,-80.4354658709704,"NC"
"271",261857,36.0850547772945,-80.2661214662698,"NC"
"272",597689,35.9685476247279,-79.8001019982349,"NC"
"273",389782,35.8547036972795,-79.591783843628,"NC"
"274",324167,36.0760260799125,-79.8207243258351,"NC"
"275",1165358,35.7991138478716,-78.6322733026263,"NC"
"276",539588,35.8197174464573,-78.6355779463683,"NC"
"277",285865,35.9815261631294,-78.9012511035734,"NC"
"278",549176,35.8284065858996,-77.5476638304278,"NC"
"279",197365,36.1713736088719,-76.3165297265422,"NC"
"280",710992,35.3594880690162,-80.9351055734692,"NC"
"281",617649,35.2782256591478,-80.7872344861807,"NC"
"282",888140,35.2062803356261,-80.814707155766,"NC"
"283",859998,34.9921115717176,-78.9858975172489,"NC"
"284",509384,34.260179263907,-78.0556004092159,"NC"
"285",511193,34.9873977029498,-77.2833493305542,"NC"
"286",636124,35.9268430243349,-81.3289286180021,"NC"
"287",551549,35.4800603505998,-82.6595177572546,"NC"
"288",128461,35.5859469149781,-82.5577021252754,"NC"
"289",38216,35.1054548332374,-83.9751260001047,"NC"
"290",447106,34.0182287228264,-80.983203659186,"SC"
"291",367549,33.8791993611491,-80.8202963028494,"SC"
"292",341953,34.052884456864,-80.9962253964229,"SC"
"293",405726,34.8949759228815,-81.9279652371354,"SC"
"294",809477,32.9391895988546,-80.0449040064919,"SC"
"295",672988,33.9790863556809,-79.3270971318627,"SC"
"296",1008220,34.7108039563687,-82.4620340631588,"SC"
"297",385378,34.9230086549258,-80.9844919114013,"SC"
"298",225661,33.5249086623431,-81.74490888313,"SC"
"299",229386,32.3804581077006,-80.8306210022712,"SC"
"300",2378277,33.9097737069908,-84.1845363130342,"GA"
"301",1252663,33.985091184297,-84.7713277544024,"GA"
"302",1047616,33.4086247612799,-84.4301475936431,"GA"
"303",977659,33.7931793951511,-84.3949064143091,"GA"
"304",227077,32.3914359578953,-82.0670109787473,"GA"
"305",663801,34.3935209735026,-83.8226227194566,"GA"
"306",401406,33.931049739837,-83.374915327185,"GA"
"307",369326,34.7565701523586,-85.0794331834964,"GA"
"308",204221,33.4207589329648,-82.2296122693651,"GA"
"309",204805,33.4443948583286,-82.0339485669246,"GA"
"310",542722,32.6293408976585,-83.481464380425,"GA"
"312",164526,32.8441927081616,-83.6699535967568,"GA"
"313",220027,31.9912767635927,-81.4198816328132,"GA"
"314",253006,32.0343624415508,-81.1297578825245,"GA"
"315",340948,31.2992528918985,-82.0423382541208,"GA"
"316",196136,30.9447971615665,-83.2697395904984,"GA"
"317",365250,31.4532284766845,-83.9224936629268,"GA"
"318",89749,32.5905052807162,-84.7698369149963,"GA"
"319",196738,32.4885372568289,-84.9386613289959,"GA"
"320",641556,30.1389445995159,-81.9298783931847,"FL"
"321",594436,29.241947746511,-81.323119381846,"FL"
"322",961701,30.2882108246991,-81.621276201207,"FL"
"323",436246,30.4096678139742,-84.2661334544408,"FL"
"324",356105,30.4132037609581,-85.6288241729939,"FL"
"325",684534,30.5282560184155,-87.0017809912714,"FL"
"326",369673,29.6360454334966,-82.434538348811,"FL"
"327",999418,28.7565790215285,-81.3212801209384,"FL"
"328",979081,28.5083216726798,-81.3478541116424,"FL"
"329",650533,28.0631098472099,-80.6349459694066,"FL"
"330",1752700,25.9322017643807,-80.3206189940075,"FL"
"331",2037351,25.7674149238442,-80.2928163271925,"FL"
"333",824195,26.1346496186,-80.2377439292898,"FL"
"334",1538684,26.6146081324931,-80.1616204499052,"FL"
"335",783352,28.0222651097118,-82.28881295369,"FL"
"336",778810,28.0142901663718,-82.4715439095941,"FL"
"337",756504,27.8561510387969,-82.725036487963,"FL"
"338",750337,27.9357320170577,-81.7574373816272,"FL"
"339",819706,26.6677974402286,-81.8835267927977,"FL"
"341",414978,26.2134171843953,-81.6920799487081,"FL"
"342",822186,27.3198439150083,-82.4331339626642,"FL"
"344",441565,29.0428601922911,-82.2554066446299,"FL"
"346",686227,28.2783142373879,-82.631633447537,"FL"
"347",727815,28.4309168225153,-81.5629173219114,"FL"
"349",469118,27.2793035247614,-80.3956487560593,"FL"
"350",445598,33.512098392504,-86.7346393268529,"AL"
"351",333060,33.5263851896535,-86.6011979571729,"AL"
"352",499128,33.4936910826121,-86.7788433926588,"AL"
"354",233691,33.1787179671019,-87.6194726573638,"AL"
"355",153202,33.9676669968212,-87.6033365446796,"AL"
"356",382897,34.6856824287445,-87.3042134377783,"AL"
"357",236257,34.7485576511384,-86.518360883394,"AL"
"358",196195,34.7184224446189,-86.5878425288514,"AL"
"359",287321,34.2153800252679,-85.9941357576682,"AL"
"360",289562,32.2496966357153,-86.1651232621615,"AL"
"361",210083,32.3457107851468,-86.2355325256399,"AL"
"362",182591,33.6188553048124,-85.7346890846263,"AL"
"363",240777,31.2734524858479,-85.566017608235,"AL"
"364",103510,31.3286277892378,-86.888789078746,"AL"
"365",379229,30.6977331470273,-87.9213708880755,"AL"
"366",286208,30.6694759104253,-88.1746986798272,"AL"
"367",107003,32.3908891793782,-87.3297325086867,"AL"
"368",265958,32.5871719497853,-85.3165789180585,"AL"
"370",985857,36.1900686668219,-86.8389859434776,"TN"
"371",674879,36.0045903121226,-86.547846490159,"TN"
"372",454949,36.1247498567114,-86.7905467346208,"TN"
"373",584838,35.2746129147713,-85.2722882945824,"TN"
"374",206159,35.0526772349497,-85.2448658546268,"TN"
"376",412764,36.4028676511929,-82.370479153417,"TN"
"377",343752,36.0547067630443,-83.8532018667731,"TN"
"378",535626,36.0066824714353,-83.770438663168,"TN"
"379",409720,35.9607873024212,-83.9928493672508,"TN"
"380",426524,35.3972676833144,-89.5952580027197,"TN"
"381",738057,35.1192021831363,-89.9345386637672,"TN"
"382",113941,36.3059283905881,-88.6916112593184,"TN"
"383",285923,35.6313088994939,-88.6119861385723,"TN"
"384",181373,35.4137572848329,-87.2278819203796,"TN"
"385",236155,36.1401886577333,-85.3401647126125,"TN"
"386",419362,34.6821780998803,-89.7857223563413,"MS"
"387",111713,33.5367270285285,-90.8297022250768,"MS"
"388",263679,34.3818433027128,-88.648775491939,"MS"
"389",108511,33.746767201657,-89.9081263136456,"MS"
"390",283363,32.4253058003091,-90.0253663343626,"MS"
"391",289206,32.2440464873689,-90.3680087785765,"MS"
"392",231462,32.3148218629883,-90.2047202541281,"MS"
"393",208070,32.4367374261979,-88.8245385990196,"MS"
"394",371493,31.252692509692,-89.329601278549,"MS"
"395",401656,30.4498192331971,-88.9701945397156,"MS"
"396",129265,31.3196984713805,-90.4965625723746,"MS"
"397",168388,33.5230790315165,-88.6904087394351,"MS"
"398",105726,31.1641252136844,-84.5951406345648,"GA"
"400",259129,38.1314691076954,-85.3765573999012,"KY"
"401",147796,37.8955804963598,-85.969758766198,"KY"
"402",759245,38.1962637430526,-85.686670274254,"KY"
"403",340901,38.0345198432683,-84.3270129269143,"KY"
"404",191386,37.6061841734401,-84.4353968802943,"KY"
"405",316124,38.0195856943668,-84.4765136620282,"KY"
"406",50731,38.2347340038044,-84.8687732213439,"KY"
"407",107767,36.9655473768779,-84.1340758532668,"KY"
"408",33626,36.8671683672753,-83.2590223943675,"KY"
"409",66784,36.8917881805522,-83.7616569966459,"KY"
"410",506456,38.905486425184,-84.5132258541927,"KY"
"411",135258,38.4232681151725,-82.8925131034689,"KY"
"412",48925,37.8799038835156,-82.707071325907,"KY"
"413",32849,37.5724932338275,-83.4731016252245,"KY"
"414",24591,37.8195237028181,-83.1744723084869,"KY"
"415",64714,37.4577912007757,-82.4322421109034,"KY"
"416",38057,37.5380314289618,-82.7494945626035,"KY"
"417",38634,37.2517033807009,-83.2150117819279,"KY"
"418",29407,37.2161640421328,-82.8614573472983,"KY"
"420",222245,36.8870089304551,-88.5277268283021,"KY"
"421",228265,36.9327701459488,-86.2547751882023,"KY"
"422",154293,36.8688697590364,-87.2326105696953,"KY"
"423",172703,37.6014384101376,-87.0804377537796,"KY"
"424",134236,37.51894167283,-87.6190366033553,"KY"
"425",77901,37.1403173872479,-84.6184211013722,"KY"
"426",65550,36.8277568896567,-84.841391124775,"KY"
"427",183667,37.440107261495,-85.7541237853888,"KY"
"430",840772,40.1335672083454,-82.9075484640961,"OH"
"431",426123,39.7670534537211,-82.9338469578408,"OH"
"432",808361,39.9959186633633,-82.9871113864029,"OH"
"433",179234,40.5501428061975,-83.329644656795,"OH"
"434",164450,41.4348618037641,-83.3131168112314,"OH"
"435",294174,41.5163848916424,-84.0016833937092,"OH"
"436",336774,41.664688762541,-83.578342291029,"OH"
"437",192287,39.8915934806721,-81.7784504041459,"OH"
"438",64231,40.2553864559481,-81.8700113027043,"OH"
"439",174692,40.3071599935143,-80.7786172967394,"OH"
"440",853396,41.5180657781534,-81.5826152140026,"OH"
"441",1192357,41.4496867183998,-81.671656142901,"OH"
"442",568371,41.1410859711667,-81.5623857684312,"OH"
"443",270135,41.0684987240528,-81.5305692040794,"OH"
"444",337009,41.1126090707399,-80.7536078137825,"OH"
"445",157638,41.0702800963854,-80.6725038261016,"OH"
"446",453876,40.7353453479673,-81.5153310502759,"OH"
"447",191876,40.8351238055724,-81.3936503511017,"OH"
"448",330901,41.0646499406832,-82.7340425185569,"OH"
"449",90873,40.7498120289855,-82.5371128969001,"OH"
"450",600891,39.4095272233001,-84.4412823936304,"OH"
"451",343625,39.161207547044,-84.015450344099,"OH"
"452",800393,39.1746959927811,-84.4898113963628,"OH"
"453",493891,39.9112855162556,-84.2261091651498,"OH"
"454",479950,39.741614013716,-84.169927411099,"OH"
"455",99375,39.9229726498013,-83.8151653613384,"OH"
"456",342375,38.9352791761986,-82.8235037546316,"OH"
"457",155574,39.3408601858472,-81.8401315686362,"OH"
"458",366152,40.8041046968445,-84.1417439822451,"OH"
"460",553382,40.0584974625629,-86.0269797181025,"IN"
"461",545955,39.6424320166772,-86.204350602253,"IN"
"462",948747,39.7942222789448,-86.1378026604015,"IN"
"463",661682,41.5111713725551,-87.2293660126405,"IN"
"464",131624,41.5503551551237,-87.3338379207895,"IN"
"465",485092,41.5468695021522,-86.0210762289009,"IN"
"466",146108,41.6733401132108,-86.2777590912134,"IN"
"467",331552,41.1951668664583,-85.1978260426298,"IN"
"468",316437,41.0944992865626,-85.1332082222528,"IN"
"469",304681,40.6590533403297,-86.0474174540848,"IN"
"470",116883,39.1682460217482,-85.0337775232326,"IN"
"471",295979,38.387278997368,-85.8792789201329,"IN"
"472",213174,39.069973189601,-85.7630355641354,"IN"
"473",316266,40.0629741111406,-85.2206393550713,"IN"
"474",267395,39.05935771348,-86.5863020331457,"IN"
"475",164859,38.4730250712973,-87.0655659412286,"IN"
"476",127932,38.0785295182284,-87.4586226973236,"IN"
